"filename", "language", "JSON", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\react_native\login_server\.expo\README.md", "Markdown", 0, 9, 0, 0, 9, 18
"c:\react_native\login_server\.expo\settings.json", "JSON", 8, 0, 0, 0, 1, 9
"c:\react_native\login_server\api\Conversations.js", "JavaScript", 0, 0, 833, 29, 31, 893
"c:\react_native\login_server\api\Messages.js", "JavaScript", 0, 0, 219, 8, 6, 233
"c:\react_native\login_server\api\User.js", "JavaScript", 0, 0, 4664, 190, 97, 4951
"c:\react_native\login_server\config\db.js", "JavaScript", 0, 0, 11, 1, 1, 13
"c:\react_native\login_server\models\Category.js", "JavaScript", 0, 0, 17, 0, 3, 20
"c:\react_native\login_server\models\Conversation.js", "JavaScript", 0, 0, 20, 0, 3, 23
"c:\react_native\login_server\models\ImagePost.js", "JavaScript", 0, 0, 14, 0, 3, 17
"c:\react_native\login_server\models\Message.js", "JavaScript", 0, 0, 14, 0, 3, 17
"c:\react_native\login_server\models\Poll.js", "JavaScript", 0, 0, 32, 0, 3, 35
"c:\react_native\login_server\models\Thread.js", "JavaScript", 0, 0, 21, 0, 3, 24
"c:\react_native\login_server\models\User.js", "JavaScript", 0, 0, 17, 0, 3, 20
"c:\react_native\login_server\package.json", "JSON", 24, 0, 0, 0, 1, 25
"c:\react_native\login_server\s3.js", "JavaScript", 0, 0, 33, 2, 6, 41
"c:\react_native\login_server\server.js", "JavaScript", 0, 0, 111, 8, 10, 129
"Total", "-", 32, 9, 6006, 238, 183, 6468
