"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\react_native\login_server\api\Conversations.js", "JavaScript", 197, 0, 6, 2, 205
"c:\react_native\login_server\api\Feed.js", "JavaScript", 1092, 0, 101, 16, 1209
"c:\react_native\login_server\api\Messages.js", "JavaScript", 150, 0, 3, 2, 155
"c:\react_native\login_server\api\PublicApis.js", "JavaScript", 321, 0, 25, 13, 359
"c:\react_native\login_server\api\User.js", "JavaScript", 248, 0, 13, 3, 264
"c:\react_native\login_server\models\Category.js", "JavaScript", 2, 0, 0, 0, 2
"c:\react_native\login_server\models\ImagePost.js", "JavaScript", 2, 0, 0, 0, 2
"c:\react_native\login_server\models\Message.js", "JavaScript", 1, 0, 0, 0, 1
"c:\react_native\login_server\models\Poll.js", "JavaScript", 2, 0, 0, 0, 2
"c:\react_native\login_server\models\Thread.js", "JavaScript", 2, 0, 0, 0, 2
"c:\react_native\login_server\models\User.js", "JavaScript", 1, 0, 0, 0, 1
"c:\react_native\login_server\package.json", "JSON", 0, 2, 0, 0, 2
"c:\react_native\login_server\server.js", "JavaScript", 743, 0, -2, 10, 751
"c:\react_native\login_server\socketHandler.js", "JavaScript", 60, 0, 3, 4, 67
"Total", "-", 2821, 2, 149, 50, 3022
