"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Markdown", "Docker", "YAML", "Ignore", "comment", "blank", "total"
"c:\Users\SSBackend\Documents\GitHub\SocialSquare-Main-Backend\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\SSBackend\Documents\GitHub\SocialSquare-Main-Backend\.expo\README.md", "Markdown", 0, 0, 0, 9, 0, 0, 0, 0, 9, 18
"c:\Users\SSBackend\Documents\GitHub\SocialSquare-Main-Backend\.expo\settings.json", "JSON with Comments", 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\SSBackend\Documents\GitHub\SocialSquare-Main-Backend\Dockerfile", "Docker", 0, 0, 0, 0, 7, 0, 0, 1, 0, 8
"c:\Users\SSBackend\Documents\GitHub\SocialSquare-Main-Backend\README.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\SSBackend\Documents\GitHub\SocialSquare-Main-Backend\api\Conversations.js", "JavaScript", 1339, 0, 0, 0, 0, 0, 0, 44, 39, 1422
"c:\Users\SSBackend\Documents\GitHub\SocialSquare-Main-Backend\api\Feed.js", "JavaScript", 1520, 0, 0, 0, 0, 0, 0, 143, 18, 1681
"c:\Users\SSBackend\Documents\GitHub\SocialSquare-Main-Backend\api\Messages.js", "JavaScript", 439, 0, 0, 0, 0, 0, 0, 11, 8, 458
"c:\Users\SSBackend\Documents\GitHub\SocialSquare-Main-Backend\api\PublicApis.js", "JavaScript", 321, 0, 0, 0, 0, 0, 0, 25, 13, 359
"c:\Users\SSBackend\Documents\GitHub\SocialSquare-Main-Backend\api\User.js", "JavaScript", 6272, 0, 0, 0, 0, 0, 0, 326, 134, 6732
"c:\Users\SSBackend\Documents\GitHub\SocialSquare-Main-Backend\config\db.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\SSBackend\Documents\GitHub\SocialSquare-Main-Backend\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 11
"c:\Users\SSBackend\Documents\GitHub\SocialSquare-Main-Backend\models\Category.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\SSBackend\Documents\GitHub\SocialSquare-Main-Backend\models\Conversation.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\SSBackend\Documents\GitHub\SocialSquare-Main-Backend\models\ImagePost.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\SSBackend\Documents\GitHub\SocialSquare-Main-Backend\models\Message.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\SSBackend\Documents\GitHub\SocialSquare-Main-Backend\models\Poll.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\SSBackend\Documents\GitHub\SocialSquare-Main-Backend\models\Thread.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 3, 26
