"filename", "language", "JSON", "JavaScript", "Markdown", "YAML", "Docker", "JSON with Comments", "Ignore", "comment", "blank", "total"
"c:\Users\Kovid Dev\Documents\GitHub\SocialSquare-Main-Backend\.expo\README.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 0, 9, 18
"c:\Users\Kovid Dev\Documents\GitHub\SocialSquare-Main-Backend\.expo\settings.json", "JSON with Comments", 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\Kovid Dev\Documents\GitHub\SocialSquare-Main-Backend\Dockerfile", "Docker", 0, 0, 0, 0, 7, 0, 0, 1, 0, 8
"c:\Users\Kovid Dev\Documents\GitHub\SocialSquare-Main-Backend\OneTimeExecuteCode\badgesForDates.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 38, 0, 38
"c:\Users\Kovid Dev\Documents\GitHub\SocialSquare-Main-Backend\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Kovid Dev\Documents\GitHub\SocialSquare-Main-Backend\api\Conversations.js", "JavaScript", 0, 1339, 0, 0, 0, 0, 0, 44, 39, 1422
"c:\Users\Kovid Dev\Documents\GitHub\SocialSquare-Main-Backend\api\Feed.js", "JavaScript", 0, 1521, 0, 0, 0, 0, 0, 143, 18, 1682
"c:\Users\Kovid Dev\Documents\GitHub\SocialSquare-Main-Backend\api\Messages.js", "JavaScript", 0, 439, 0, 0, 0, 0, 0, 11, 8, 458
"c:\Users\Kovid Dev\Documents\GitHub\SocialSquare-Main-Backend\api\PublicApis.js", "JavaScript", 0, 321, 0, 0, 0, 0, 0, 25, 13, 359
"c:\Users\Kovid Dev\Documents\GitHub\SocialSquare-Main-Backend\api\User.js", "JavaScript", 0, 6493, 0, 0, 0, 0, 0, 327, 145, 6965
"c:\Users\Kovid Dev\Documents\GitHub\SocialSquare-Main-Backend\config\db.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Kovid Dev\Documents\GitHub\SocialSquare-Main-Backend\docker-compose.yml", "YAML", 0, 0, 0, 11, 0, 0, 0, 0, 0, 11
"c:\Users\Kovid Dev\Documents\GitHub\SocialSquare-Main-Backend\generateTwoDigitDate.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 8, 1, 51
